str,replace
TC,TC
PR,PR
Campground,CG
Alley,Aly
Ally,Aly
Annex,Anx
Avenue,Ave
Av,Ave
Boul,Blvd
Boulevard,Blvd
Brdge,Bridge
Brg,Bridge
Bluffs,Blfs
Brook,Brk
Camp,Cp
Causeway,Cswy
Circle,Cir
Circl,Cir
Circles,Cirs
Corner,Cor
Corners,Cors
Club,Club
Common,Cmn
Commons,Cmns
Cove,Cv
Coves,Cvs
Creek,Crk
Course,Crse
Crest,Crst
Crescent,Cres
Center,Ctr
Centers,Ctrs
Court,Ct
Courts,Cts
Croussing,Xing
Curve,Curv
Dam,Dm
Drive,Dr
Drives,Drs
Estate,Est
Expressway,Expy
Ferry,Fry
Frontage,Frtg
Freeway,Fwy
Fort,Ft
Frest,Frst
Fork,Frk
Height,Ht
Heights,Hts
Highway,Hwy
State Highway,Hwy
Hiway,Hwy
Highwy,Hwy
Hill,Hl
Junnction,Jct
Lane,Ln
Landing,Lndg
Loop,Loop
Loops,Loop
Lp,Loop
Motorway,Mtwy
Path,Path
Paths,Path
Pass,Pass
Parkway,Pkwy
Place,Pl
Plain,Pln
Plains,Plns
Point,Pt
Points,Pts
Port,Prt
Prairie,Pr
Ramp,Ramp
onRamp,Ramp
Rp,Rp
Ridge,Rdg
Ranch,Rnch
River,Riv
Road,Rd
Rue,Rue
Run,Run
Shoal,Shl
Skyway,Skwy
Spur,Spur
Spurs,Spur
Square,Sq
Sqr,Sq
Station,Sta
Street,St
Throughway,Trwy
Track,Trak
Tracks,Trak
Ter,Ter
Terr,Ter
Terrace,Ter
Tr,Tr
Tl,Trail
Trl,Trail
Tunnel,Tunl
Tunel,Tunl
Tunnl,Tunl
Turnpike,Tpke
Trnpk,Tpke
Underpass,Upas
Union,Un
Valley,Vly
View,Vw
Village,Vlg
Vista,Vis
Walks,Walk
Wall,Wall
Wy,Way
Wys,Ways
Well,Wl
Wells,Wls
