Description/notes,From,To,Mode,Time,Service,Optimize,Max dist,Arrive by,Depart by,Expected output,Expected trip duration,Expected trip distance,Passes?
#NAME?,,,,,,,,,,,,,
Snapping Test 1 - Downtown to Tabor,"Downtown::45.518875,-122.679290","MtTaborPark::45.511425,-122.595300",BICYCLE,,,,4828,,,,,,
Snapping Test 2 - Downtown to Oaks ,"Downtown::45.518875,-122.679290","OaksBottomWildlifeRefuge::45.476690,-122.655340",BICYCLE,,,,4828,,,,,,
#NAME?,,,,,,,,,,,,,
Tests Burnside Bridge biking east to west,"45.523623,-122.660230","45.523187,-122.673941",BICYCLE,,,QUICK,4828,,,Couch.*Burnside Bridge,,,
Tests Burnside Bridge biking west to east,"45.523046,-122.674252","45.522931,-122.660241",BICYCLE,,,QUICK,4828,,,Burnside Bridge,,,
Tests Morrison Bridge biking path from east to west,"45.515815,-122.665260","45.517203,-122.671906",BICYCLE,,,SAFE,4828,,,Morrison Bridge..path.,,,
Tests Morrison Bridge biking path from west to east,"45.517203,-122.671906","45.515815,-122.665260",BICYCLE,,,SAFE,4828,,,Morrison Bridge..path.,,,
Tests Hawthorne Bridge biking path from east to west,"45.512908,-122.659249","45.515960,-122.678368",BICYCLE,,,SAFE,4828,,,Hawthorne Bridge..path,,,
Tests Hawthorne Bridge biking path from west to east,"45.512123,-122.675486","45.512224,-122.659238",BICYCLE,,,SAFE,4828,,,Hawthorne Bridge..path,,,
Tests traversability of Ross Island Bridge from east to west,"45.501572,-122.660101","45.501076,-122.67657",BICYCLE,,,QUICK,4828,,,Ross Island Bridge,,,
Tests traversability of Ross Island Bridge from west to east,"45.499143,-122.674835","45.501565,-122.65897",BICYCLE,,,QUICK,4828,,,Ross Island Bridge,,,
Tests traversability of Sellwood Bridge from east to west,"45.464322,-122.658599","45.466414,-122.669589",BICYCLE,,,SAFE,4828,,,Sellwood Bridge,,,
Tests traversability of Sellwood Bridge from west to east,"45.466414,-122.669589","45.464322,-122.658599",BICYCLE,,,SAFE,4828,,,Sellwood Bridge,,,
Tests traversability of Steel Bridge upper deck from east to west,"45.530452,-122.668768","45.526653,-122.675037",BICYCLE,,,QUICK,4828,,,Steel Bridge,,,
Tests traversability of Steel Bridge upper deck from west to east,"45.525265,-122.672968","45.528996,-122.664746",BICYCLE,,,QUICK,4828,,,Steel Bridge,,,
Tests traversability of Steel Bridge lower deck path from east to west,"45.528412,-122.665890","45.526416,-122.670198",BICYCLE,,,SAFE,4828,,,Steel Bridge..Lower Deck...path.,,,
Tests traversability of Steel Bridge lower deck path from west to east,"45.526416,-122.670198","45.528412,-122.665890",BICYCLE,,,SAFE,4828,,,Steel Bridge..Lower Deck...path.,,,
