Description/notes,From,To,Mode,Time,Service,Optimize,Max dist,Arrive by,Depart by,Expected output,Expected number of legs,Expected trip duration,Expected trip distance,Passes?
Issue 827: OHSU Deadhead Bug (Grant),"TriMet::45.493900,-122.648342","OHSU::45.499290,-122.685552","TRANSIT,WALK",5:20 PM,,QUICK,840,,,,,,,
#NAME?,,,,,,,,,,,,,,
"Transit Issue 352 : slow server performance (1 of 2)","45.509952347093,-122.69954640259","45.574395023969,-122.58985478272","TRANSIT,BICYCLE",9:20 AM,,QUICK,32187,,,,,,,
"Transit Issue 352 : slow server performance (2 of 2)","45.551762437656,-122.74743360351","45.589007185319,-122.73516099481","TRANSIT,WALK",8:20 PM,,QUICK,32187,,,,,,,
"Transit Issue 474 : incredibly slow server response (> 2 minutes of OTP processing) (1 of 4) this test takes many seconds (with no result)","45.29980542656,-122.77069645014","45.379879699824,-122.2655217278","TRANSIT,BICYCLE",4:20 PM,,QUICK,32187,,,,,,,
"Transit Issue 474 : incredibly slow server response (> 2 minutes of OTP processing) (2 of 4) this test chews up OTP processing for minutes (web-app timesout before any result is returned)","45.29980542656,-122.77069645014","45.379879699824,-122.2655217278","TRANSIT,BICYCLE",9:20 AM,,QUICK,16093,,,,,,,
"Transit Issue 474 : incredibly slow server response (> 2 minutes of OTP processing) (3 of 4) note that we can successfully plan a transit / walk trip to the same location as 2 of 4 test above","45.29980542656,-122.77069645014","45.379879699824,-122.2655217278","TRANSIT,WALK",4:20 PM,,QUICK,16093,,,,,,,
"Transit Issue 474 : incredibly slow server response (> 2 minutes of OTP processing) (4 of 4) - Trip with 10-mile maxWalk pukes too. With 2-mile walk, things are good.  BTW, this trip should be bike to MAX, then ride transit to airport...","45.512051,-122.625706","45.587647,-122.593173","TRANSIT,BICYCLE",4:20 PM,,QUICK,32187,,,,,,,
Transit Issue 330 : Long walk distance == strange routing,"45.551762437656,-122.74743360351","45.589007185319,-122.73516099481","TRANSIT,WALK",8:20 PM,,,48280,,,,,,,
"Transit Issue 341 : Wrong times, bad geometry and poor transfer point","45.532872335873,-122.91677258631","45.498154669557,-122.7671065207","TRANSIT,WALK",8:00 PM,,,32187,,,,,,,
